"property_id","price"
"d56159653f5d2abc5ed5acd7",591906233.452825
"45550aa81c0151f1fd9fd8fe",653429901.530565
"735deef3382aa15930482f3e",543470074.587201
"0dd49fa8bb7be52b851c6dc9",517128113.121271
"7d3220a91e78f8bc2924d1cd",669129517.135437
"d3054072b2175deec2c1f8dc",671001762.431939
"b7574b06d593fca4eac59815",666951802.87705
"79e822115c5c1a4531366001",666494805.0532
"d3ed5316a463d38c1bd321d0",711068352.705705
"2f1880c9b8f7ac2715e1236d",699293896.958174
"dcca1c7f109175760ff531c6",594557782.426108
"dfc4f3facf91bbd93ee0fa4d",543786514.47151
"30e134a6cbe61d7954d0f56b",646023014.990834
"385fee7bd9ad7722d45dd034",563115241.531934
"87199c236bf22903d1aafdd0",592179558.625382
"19e19ad0cd6b5e84d8aa970e",703155308.524979
"907f968e78d748fde69dd44f",658630913.960225
"be094e5db0f784e3aa013aae",629172977.288024
"7ab96f83915bc84f8c03c1bd",698402848.126105
"07f4aa9b9ff5b0b05d31e6c0",770104771.042261
"e9be8cd37abed8ab510ba1f5",794367708.888923
"5f6ad58df27b562db077b5ce",775332404.113544
"ee96d947484aaace40f9b77f",687921350.395012
"15c4aef8401208054697b81e",956263982.035439
"22d6cb11333f2839b8112b89",854711671.3098
"288c09c33907dadbae495c11",900193516.787057
"f71d2bca0c5fe2720a1544c4",526242929.670026
"451744cf3ce55a98db8a3562",471193422.842628
"fba9ae05a6a8a9e0c6268a9f",568015420.533234
"1338e58f7dcebf5a1ea59388",514471467.870839
"a817e8da0ada143ac87277ee",571968024.240512
"46d8bb3e9a0ca584d3c7a317",686887603.75719
"b2506aa9463aebf01e1e00ca",702889833.978096
"7ec025b9b6e6f33bf65af41b",705052609.051727
"2ff531e27672ecd2362eed55",558237886.307251
"9b3cf0d1b91b9c6a2a887647",595845529.861562
"7db5291ce4602d9b2b266872",618729218.479713
"65d5918e826c33bb950fc008",688504529.211057
"395c34e4b8f52cbdb0522459",743205552.993095
"855f4b67d2bd6d18fd03d8e7",672155397.621907
"9ff06409b37e5b5dece4604a",683384563.268968
"0508cd7bd2c77ebb6fea1e56",704011760.481636
"b45fff2e718e54772d46a3fd",683627404.035056
"cf4d2297b73dbc357d21e31b",680209648.677661
"0ada7044c5b29925abc90879",743856477.892095
"6305f02255274ab5fb6bd39c",722334246.028596
"d9a94194ae1350512beff3e6",832007649.131182
"e3896296cb80d50d9ad3f903",786160318.945289
"6514f355887c64136edb5595",854313239.314685
"f03400cc18e12903b3ffbe5a",643191126.786306
"4e134600155a64783b3f8c3e",719777661.840417
"d63ebc63c82fbf66d8b6ffd3",727489639.893715
"1bd64811bd59706844230198",693093856.138651
"a83921284639eedd4a511cb6",739293357.091353
"a2f3f7a1cd573e2a33f52e2d",800591629.522086
"47344a66471fa51f61c64652",737393270.552063
"78fd849c9429091347d7e5c9",810064439.22555
"c3daf2abea55af99c9579319",811609287.611026
"52864916eb1984abca41ec66",942025480.390436
"c62494a9d7aede44f2f84023",839265544.287033
"a2b576643f7a032371587e5e",947559905.225879
"e53bc68f0e97ccead24f3e56",596153005.255401
"fd82c710aad91bc90af490fe",651887249.964282
"d436abc2ee37ba3dd561e940",676927304.324035
"216a598114a403676011cb51",559806795.969044
"ea230d5eccd2b687888173bb",671251520.207562
"18bd0dd7580f2a7cb19a90b9",584062262.050894
"b143c8ca6d334f6a73c3f2a0",567111994.803917
"ab388cb4fa511968783bafee",693104072.48938
"6a4f08cd04d558a56af732d9",647185532.68977
"7216c895aa047c4f405c4941",694492305.508732
"a493488dcd906dc74cf8a604",617849973.423975
"7844b0b2bc65dced90a355c6",682168978.340866
"c1976383069b6b82ab29d092",665150692.273838
"e5cfd99e2308b7b73581dbdc",597884393.410729
"c18c2ea88f4ac53970b53d2c",648655573.882604
"842c9f0e4edf1e5a672ce15e",625372024.379906
"7dd1e46dcbddc6bf5ef694de",594226410.876367
"6cc4f32b39180bd1ec7e117b",668371868.276543
"79e643789a85dc4ffad49a25",871977641.047058
"b3402a9173d289d6db78e09d",789546394.669828
"a446507813234e358db8b573",746384942.812309
"c8ef57ddfb35061d1876f94e",705008756.610166
"360be0df2c003005e3db080e",818334606.143012
"9ab245a4c91877cb7a8661ce",835197743.921556
"a57a34c7486e7a40e8deb316",791890581.666189
"ceba7d0f56f6cb03538962fb",803217988.071486
"d5475993f9db58c3e4baf7a3",825924392.788948
"d37a1dda09e30da13ff5bfc3",799617255.016572
"68a8b8d077a8232723bf37e9",775332404.113544
"e1eea7716ca6490b7640717a",709597294.62865
"4ae6d75b10848d259ecba576",861788403.651442
"17afbce5c0b56732abbea936",816634462.098899
"84a2673eccd3cf3bd7fd3eb0",942025480.390436
"f2f4e6cbafe527b155707f01",854898306.073108
"de2e3a592cda5b76c9573c5c",808776368.904261
"fac651cf404a58f24dc7d286",931422762.132464
"e6f312a0877af26b69855a3d",785014737.66029
"333a643c623a9bc75f3a40f2",854362362.349178
"64593641e470908ef23b46cb",991057537.900136
"ce9f2f0071be658ae75ca6f9",953064016.062033
"9ab385e399a4673732b6a799",729828930.222426
"3429c774b736cefc051e2c55",717001625.447362
"a51ad0372758b2bbfe73f8fd",712801290.849756
"8c801a266256e3fbabe7e3d2",605796778.000206
"ca2f81b8fb6fda20aefb0ccb",657999167.306711
"3c1b1f86087f9b99380e387c",488821824.731891
"b0cad5d612954b8cab18101c",857204412.335626
"7eb991f4c69215377e4dac8f",802142989.733143
"0d130b8bea4321300396fa34",842102689.141789
