"property_id","price"
"d56159653f5d2abc5ed5acd7",773671310.437836
"45550aa81c0151f1fd9fd8fe",827716064.227813
"735deef3382aa15930482f3e",641685994.081118
"0dd49fa8bb7be52b851c6dc9",697399355.735662
"7d3220a91e78f8bc2924d1cd",889443816.027696
"d3054072b2175deec2c1f8dc",469288214.292382
"b7574b06d593fca4eac59815",468890968.436963
"79e822115c5c1a4531366001",512522960.042669
"d3ed5316a463d38c1bd321d0",860983160.258994
"2f1880c9b8f7ac2715e1236d",693554645.445585
"dcca1c7f109175760ff531c6",772793686.523399
"dfc4f3facf91bbd93ee0fa4d",426440172.632539
"30e134a6cbe61d7954d0f56b",472741176.157476
"385fee7bd9ad7722d45dd034",452490193.892795
"87199c236bf22903d1aafdd0",454950686.465796
"19e19ad0cd6b5e84d8aa970e",478900628.551513
"907f968e78d748fde69dd44f",658601748.026011
"be094e5db0f784e3aa013aae",460219353.402179
"7ab96f83915bc84f8c03c1bd",467224440.654769
"07f4aa9b9ff5b0b05d31e6c0",794380139.611832
"e9be8cd37abed8ab510ba1f5",763071267.365847
"5f6ad58df27b562db077b5ce",651225161.824209
"ee96d947484aaace40f9b77f",719572638.699711
"15c4aef8401208054697b81e",1050373283.28875
"22d6cb11333f2839b8112b89",1058938841.83319
"288c09c33907dadbae495c11",1061606664.04679
"f71d2bca0c5fe2720a1544c4",531923468.02015
"451744cf3ce55a98db8a3562",476568852.121499
"fba9ae05a6a8a9e0c6268a9f",438020665.046851
"1338e58f7dcebf5a1ea59388",454735476.249342
"a817e8da0ada143ac87277ee",566486391.204016
"46d8bb3e9a0ca584d3c7a317",449465121.804143
"b2506aa9463aebf01e1e00ca",411538920.511523
"7ec025b9b6e6f33bf65af41b",416849146.186743
"2ff531e27672ecd2362eed55",616826067.871359
"9b3cf0d1b91b9c6a2a887647",587107468.562491
"7db5291ce4602d9b2b266872",581377066.940247
"65d5918e826c33bb950fc008",610093717.856607
"395c34e4b8f52cbdb0522459",622201287.564729
"855f4b67d2bd6d18fd03d8e7",530596387.434499
"9ff06409b37e5b5dece4604a",576180915.576848
"0508cd7bd2c77ebb6fea1e56",584268484.720807
"b45fff2e718e54772d46a3fd",585535995.049479
"cf4d2297b73dbc357d21e31b",579782515.642005
"0ada7044c5b29925abc90879",577021079.910095
"6305f02255274ab5fb6bd39c",713318618.358001
"d9a94194ae1350512beff3e6",787355231.069826
"e3896296cb80d50d9ad3f903",687353105.851301
"6514f355887c64136edb5595",876881849.837696
"f03400cc18e12903b3ffbe5a",778460379.325354
"4e134600155a64783b3f8c3e",608629285.930602
"d63ebc63c82fbf66d8b6ffd3",754983946.448765
"1bd64811bd59706844230198",693665867.594369
"a83921284639eedd4a511cb6",675281534.572602
"a2f3f7a1cd573e2a33f52e2d",782698857.287996
"47344a66471fa51f61c64652",761048017.283194
"78fd849c9429091347d7e5c9",781985177.953344
"c3daf2abea55af99c9579319",772058312.271345
"52864916eb1984abca41ec66",1013040197.13541
"c62494a9d7aede44f2f84023",945808919.030286
"a2b576643f7a032371587e5e",1095581342.5825
"e53bc68f0e97ccead24f3e56",611734461.356799
"fd82c710aad91bc90af490fe",649417553.40345
"d436abc2ee37ba3dd561e940",784485938.873158
"216a598114a403676011cb51",657012455.201938
"ea230d5eccd2b687888173bb",673324572.689828
"18bd0dd7580f2a7cb19a90b9",524308530.841624
"b143c8ca6d334f6a73c3f2a0",511601896.50206
"ab388cb4fa511968783bafee",465014525.882608
"6a4f08cd04d558a56af732d9",453110461.585804
"7216c895aa047c4f405c4941",485162263.688839
"a493488dcd906dc74cf8a604",554255330.177928
"7844b0b2bc65dced90a355c6",634674521.73863
"c1976383069b6b82ab29d092",446169742.997485
"e5cfd99e2308b7b73581dbdc",521431108.789983
"c18c2ea88f4ac53970b53d2c",452721035.032071
"842c9f0e4edf1e5a672ce15e",586572178.108471
"7dd1e46dcbddc6bf5ef694de",457635700.954866
"6cc4f32b39180bd1ec7e117b",631855146.211802
"79e643789a85dc4ffad49a25",789944922.90552
"b3402a9173d289d6db78e09d",765873948.123821
"a446507813234e358db8b573",564771343.260831
"c8ef57ddfb35061d1876f94e",654728402.483453
"360be0df2c003005e3db080e",916845924.634728
"9ab245a4c91877cb7a8661ce",896633095.99513
"a57a34c7486e7a40e8deb316",706222052.931631
"ceba7d0f56f6cb03538962fb",730038485.343675
"d5475993f9db58c3e4baf7a3",830856505.300609
"d37a1dda09e30da13ff5bfc3",719879723.295981
"68a8b8d077a8232723bf37e9",651225161.824209
"e1eea7716ca6490b7640717a",570230131.100987
"4ae6d75b10848d259ecba576",785452479.10977
"17afbce5c0b56732abbea936",744621781.622074
"84a2673eccd3cf3bd7fd3eb0",1013040197.13541
"f2f4e6cbafe527b155707f01",942255623.78233
"de2e3a592cda5b76c9573c5c",916975519.456998
"fac651cf404a58f24dc7d286",971813755.561969
"e6f312a0877af26b69855a3d",1052333262.96387
"333a643c623a9bc75f3a40f2",965728302.911745
"64593641e470908ef23b46cb",1078223476.62953
"ce9f2f0071be658ae75ca6f9",1122189615.11972
"9ab385e399a4673732b6a799",766754971.051739
"3429c774b736cefc051e2c55",581759975.958439
"a51ad0372758b2bbfe73f8fd",535047061.002378
"8c801a266256e3fbabe7e3d2",641407572.804116
"ca2f81b8fb6fda20aefb0ccb",793728802.838125
"3c1b1f86087f9b99380e387c",714456423.357695
"b0cad5d612954b8cab18101c",983143285.932544
"7eb991f4c69215377e4dac8f",806160340.867046
"0d130b8bea4321300396fa34",1038233416.35341
"8dfa059401e1dca80ae65ae1",692256651.364773
"3e3f264cd0ac7a65ed2349a2",790873133.665386
"112dce80bf512f3f24391d23",452721035.032071
"ff25ded6333278149f8fb68f",848879820.49774
